packet_length,packet_frame_len,source_ip,destination_ip,source_port,destination_port,received_time,time_difference,ttl,protocol
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:35,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:35,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:35,0,64,17
44,44,10.0.0.10,10.0.0.8,54888,9564,2023-06-15 13:12:35,0,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:12:35,0,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:35,5,64,17
44,44,10.0.0.8,10.0.0.10,39095,9564,2023-06-15 13:12:36,1,64,17
44,44,10.0.0.2,10.0.0.10,54990,9564,2023-06-15 13:12:37,1,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:12:37,0,64,17
44,44,10.0.0.6,10.0.0.10,52629,9564,2023-06-15 13:12:37,0,64,17
44,44,10.0.0.4,10.0.0.10,52955,9564,2023-06-15 13:12:37,0,64,17
44,44,10.0.0.7,10.0.0.10,38413,9564,2023-06-15 13:12:37,0,64,17
43,43,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:39,2,64,17
44,44,10.0.0.1,10.0.0.10,45714,9564,2023-06-15 13:12:39,0,64,17
44,44,10.0.0.5,10.0.0.10,55881,9564,2023-06-15 13:12:40,1,64,17
44,44,10.0.0.3,10.0.0.10,47177,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.1,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.2,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.3,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.4,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.8,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:12:40,0,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:40,5,64,17
44,44,10.0.0.8,10.0.0.10,39095,9564,2023-06-15 13:12:41,1,64,17
44,44,10.0.0.2,10.0.0.10,54990,9564,2023-06-15 13:12:42,1,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:12:42,0,64,17
44,44,10.0.0.6,10.0.0.10,52629,9564,2023-06-15 13:12:42,0,64,17
44,44,10.0.0.4,10.0.0.10,52955,9564,2023-06-15 13:12:42,0,64,17
44,44,10.0.0.7,10.0.0.10,38413,9564,2023-06-15 13:12:42,0,64,17
43,43,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:44,2,64,17
44,44,10.0.0.1,10.0.0.10,45714,9564,2023-06-15 13:12:44,0,64,17
44,44,10.0.0.5,10.0.0.10,55881,9564,2023-06-15 13:12:45,1,64,17
44,44,10.0.0.3,10.0.0.10,47177,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.1,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.2,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.3,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.4,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.5,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.6,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.7,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.8,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.9,54888,9564,2023-06-15 13:12:45,0,64,17
44,44,10.0.0.10,10.0.0.10,54888,9564,2023-06-15 13:12:45,5,64,17
44,44,255.31.31.156,10.0.0.9,,,2023-06-15 13:12:46,15,0,2
44,44,10.0.0.8,10.0.0.10,39095,9564,2023-06-15 13:12:46,1,64,17
44,44,10.0.0.2,10.0.0.10,54990,9564,2023-06-15 13:12:47,1,64,17
44,44,10.0.0.9,10.0.0.10,54436,9564,2023-06-15 13:12:47,0,64,17
44,44,10.0.0.6,10.0.0.10,52629,9564,2023-06-15 13:12:47,0,64,17
44,44,10.0.0.4,10.0.0.10,52955,9564,2023-06-15 13:12:47,0,64,17
44,44,10.0.0.7,10.0.0.10,38413,9564,2023-06-15 13:12:47,0,64,17
43,43,10.0.0.21,10.0.0.10,39238,9564,2023-06-15 13:12:49,2,64,17
